region;city;cat;comerc;object;mark;date;mark_id
Свердловская область;Екатеринбург;Музеи;да;Уральский государственный геологический музей;1;2020-03;117395942033565807992
Свердловская область;Екатеринбург;Музеи;да;Музей Бажова;5;2020-03;115506237346675475399
Свердловская область;Екатеринбург;Музеи;да;Музей Бажова;4;2020-03;117192695697465752357
Свердловская область;Екатеринбург;Музеи;да;Музей Бажова;5;2020-03;116989546222273354082
Свердловская область;Екатеринбург;Музеи;да;Музей Невьянская икона;5;2020-04;101612329261654312424
Свердловская область;Екатеринбург;Музеи;да;Свердловский областной краеведческий музей;5;2020-03;108177604728467609356
Свердловская область;Екатеринбург;Музеи;да;Свердловский областной краеведческий музей;4;2020-03;114132256925045652437
Свердловская область;Екатеринбург;Музеи;да;Музей природы;5;2020-04;106304777605466394364
Свердловская область;Екатеринбург;Музеи;да;Музей природы;5;2020-03;116558215987159307032
Свердловская область;Екатеринбург;Музеи;да;Музей природы;5;2020-03;115442623279586817328
Свердловская область;Алапаевск;Музеи;да;Дом-музей Чайковского;5;2020-02;110596669302766745947
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна;5;2020-04;107637505553218589858
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна;5;2020-04;117222033089163026096
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна;4;2020-03;107258626229097805674
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна;5;2020-02;101330609395239260745
Свердловская область;Нижний Тагил;Музеи;да;Музей Демидовская дача;5;2020-04;100028869667810387901
Свердловская область;Нижний Тагил;Музеи;да;Музей Демидовская дача;5;2020-02;108081260573927770473
Свердловская область;Нижний Тагил;Музеи;да;Музей Демидовская дача;4;2020-02;117064456618825097878
Свердловская область;Нижняя Синячиха;Музеи;да;Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им Самойлова;5;2020-04;117172353249115810316
Свердловская область;Нижняя Синячиха;Музеи;да;Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им Самойлова;5;2020-03;106578846955882183541
Свердловская область;Нижняя Синячиха;Музеи;да;Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им Самойлова;4;2020-03;117333384425611831794
Свердловская область;Березовский;Музеи;да;Березовский музей золота;5;2020-02;108585929405118516220
Свердловская область;Березовский;Музеи;да;Березовский музей золота;5;2020-02;104375532950569644698
Свердловская область;Березовский;Музеи;да;Березовский музей золота;3;2020-02;118401291604768726699
Свердловская область;Екатеринбург;Музеи;да;Музей святой царской семьи;5;2020-03;113846209784048472378
Свердловская область;Екатеринбург;Музеи;да;Музей святой царской семьи;5;2020-02;116353221056894072958
Свердловская область;Екатеринбург;Семейный отдых;да;Newton park;3;2020-03;117697910855682222154
Свердловская область;Екатеринбург;Семейный отдых;да;Newton park;5;2020-03;100570012319237713049
Свердловская область;Екатеринбург;Семейный отдых;да;Newton park;5;2020-02;110149585742166148955
Свердловская область;Верхотурье;Музеи;да;Верхотурский государственный историко-архитектурный музей-заповедник;5;2020-03;109035656284101453372
Свердловская область;Полевской;Музеи;да;Музейный комплекс Северская домна;5;2020-04;101799797427188018582
